location,price,features,listing_url,name,lat,long,source,rating
"10/9 Ebenezer Place, Adelaide SA 5000",460,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/10-9-ebenezer-place-adelaide-sa-5000/7941307,,-34.9232159,138.6088053,homely,
"2104/421 King William Street, Adelaide SA 5000",440,"['Bed: 1', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/2104-421-king-william-street-adelaide-sa-5000/8438091,,-34.9350047,138.6000245,homely,
"25/31 Halifax Street, Adelaide SA 5000",395,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/25-31-halifax-street-adelaide-sa-5000/8436111,,-34.9331468,138.6017046,homely,
"20/107 Grote Street, Adelaide SA 5000",570,"['Bed: 3', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/20-107-grote-street-adelaide-sa-5000/8435148,,-34.9294398,138.5952118,homely,
"5/79a Hindley Street, Adelaide SA 5000",260,"['Bed: 1', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/5-79a-hindley-street-adelaide-sa-5000/8434982,,-34.9233497,138.5965241,homely,
"802/61 Hindmarsh Square, Adelaide SA 5000",505,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/802-61-hindmarsh-square-adelaide-sa-5000/8433478,,-34.9247851,138.6045744,homely,
"210/185 Morphett Street, Adelaide SA 5000",350,"['Bed: 1', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/210-185-morphett-street-adelaide-sa-5000/8433427,,-34.926779,138.5933593,homely,
"2207/17 Penny Place, Adelaide SA 5000",620,"['Bed: 2', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/2207-17-penny-place-adelaide-sa-5000/8432974,,-34.9309692,138.601954,homely,
"93/45 York Street, Adelaide SA 5000",600,"['Bed: 3', 'Bath: 2', 'Car: 0']",https://www.homely.com.au/homes/93-45-york-street-adelaide-sa-5000/8432695,,-34.9231463,138.6073115,homely,
"165/65 King William Street, Adelaide SA 5000",450,"['Bed: 2', 'Bath: 2', 'Car: 0']",https://www.homely.com.au/homes/165-65-king-william-street-adelaide-sa-5000/8428089,,-34.9239548,138.5993007,homely,
"8/261 Pirie Street, Adelaide SA 5000",420,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/8-261-pirie-street-adelaide-sa-5000/8425451,,-34.9256149,138.6095989,homely,
"206/22 Ifould St, Adelaide SA 5000",340,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/206-22-ifould-st-adelaide-sa-5000/8424556,,-34.9271177,138.6109795,homely,
"1607/15 Austin Street, Adelaide SA 5000",450,"['Bed: 1', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/1607-15-austin-street-adelaide-sa-5000/8423960,,-34.9219743,138.6048095,homely,
"28/26 Charlick Circuit, Adelaide SA 5000",550,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/28-26-charlick-circuit-adelaide-sa-5000/8423959,,-34.922989,138.6098951,homely,
"1205/15-19 Synagogue Place, Adelaide SA 5000",440,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/1205-15-19-synagogue-place-adelaide-sa-5000/8423711,,-34.9220181,138.6064273,homely,
"143/65 King William Street, Adelaide SA 5000",450,"['Bed: 2', 'Bath: 2', 'Car: 0']",https://www.homely.com.au/homes/143-65-king-william-street-adelaide-sa-5000/8419622,,-34.9240262,138.5991476,homely,
"203/31 Frew Street, Adelaide SA 5000",380,"['Bed: 1', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/203-31-frew-street-adelaide-sa-5000/8221742,,-34.9320034,138.5987061,homely,
"16 Heaslip Close, Adelaide SA 5000",525,"['Bed: 2', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/16-heaslip-close-adelaide-sa-5000/8227456,,-34.9326101,138.5990925,homely,
"8D/17 Eden Street, Adelaide SA 5000",450,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/8d-17-eden-street-adelaide-sa-5000/8226538,,-34.930914,138.6072138,homely,
"1611/152-160 Grote Street, Adelaide SA 5000",380,"['Bed: 1', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/1611-152-160-grote-street-adelaide-sa-5000/8224126,,-34.92852140000001,138.5931633,homely,
"502/271 Gouger Street, Adelaide SA 5000",430,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/502-271-gouger-street-adelaide-sa-5000/8224123,,-34.9309679,138.589054,homely,
