location,price,features,listing_url,name,lat,long,source,rating
"Adelaide, Adelaide",840.2190923317685,"['4 guests', '2 bedrooms', '2 beds', '2 baths', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/50201500?previous_page_section_name=1000&federated_search_id=6c2ea906-7aba-4846-b038-47e07e1fdf09,♥Elegant in China Town♥ Sky line✔Luxury✔Gym,-34.9284989,138.6007456,aribnb,4.83 (18 reviews)
"Adelaide, Adelaide",441.47104851330204,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/19627210?previous_page_section_name=1000&federated_search_id=6c2ea906-7aba-4846-b038-47e07e1fdf09,Central city apartment close to Rundle St &Nth Tce,-34.9284989,138.6007456,aribnb,4.71 (189 reviews)
"North Adelaide, Adelaide",432.7073552425665,"['5 guests', '2 bedrooms', '3 beds', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning']",https://www.airbnb.com/rooms/43209874?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,❤️The Grand Apartments❤️ North Adelaide + Parking,-34.9083198,138.5919105,aribnb,5.0 (5 reviews)
"Adelaide, Adelaide",1060.4068857589984,"['5 guests', '2 bedrooms', '3 beds', '2 baths', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/46925057?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,The Luxury@City Central★Pool+Gym&Parking+WiFi,-34.9284989,138.6007456,aribnb,4.88 (43 reviews)
"Adelaide, Adelaide",783.2550860719875,"['3 guests', '1 bedroom', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/44437135?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,Heart of Adelaide✔Luxuy Apt✔Rundle Mall✔Pool✔,-34.9284989,138.6007456,aribnb,4.75 (96 reviews)
"Adelaide, Adelaide",529.1079812206573,"['2 guests', '1 bedroom', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/42101981?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,Brand New Luxury South Terrace No.07,-34.9284989,138.6007456,aribnb,5.0 (5 reviews)
"Adelaide, Adelaide",930.0469483568074,"['4 guests', '2 bedrooms', '2 beds', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/46127745?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,Charming on Grote★Parking★POOL&GYM Open!!,-34.9284989,138.6007456,aribnb,4.51 (35 reviews)
"Adelaide, Adelaide",993.5837245696403,"['5 guests', '2 bedrooms', '2 beds', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/50529396?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,Iconic on Vue with Free Parking✔Pool✔Gym✔WiFi,-34.9284989,138.6007456,aribnb,4.83 (24 reviews)
"Adelaide, Adelaide",494.0532081377152,"['4 guests', '1 bedroom', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/16335676?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,"Heritage-Listed, Charming City Cottage",-34.9284989,138.6007456,aribnb,4.62 (76 reviews)
"Adelaide, Adelaide",548.8262910798122,"['2 guests', 'Studio', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/48831867?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,TOP FLOOR Frome St Studio Apt 605! w Kitchenette!,-34.9284989,138.6007456,aribnb,4.88 (8 reviews)
